Rew_NoInv;localization_time;localization_real_continous_average_value;localization_target_value;localization_real_continuous_average_diff_with_server_mean_abs;localization_target_diff_with_real_continuous_average;temperature_time;temperature_real_continous_average_value;temperature_target_value;temperature_real_continuous_average_diff_with_server_mean_abs;temperature_target_diff_with_real_continuous_average;low_temperature_target_value;low_temperature_target_diff_with_real_continuous_average;real_queue_time;real_queue_queue_server_arrival_mean;real_queue_target_value;real_queue_real_continuous_average_diff_with_server_mean_abs;penalty_time;penalty_real_time_average_value;end_localization_arrival;end_localization_departure;end_temperature_arrival;end_temperature_departure;end_real_queue_arrival;end_real_queue_departure;Rew_Inv;localization_time;localization_real_continous_average_value;localization_target_value;localization_real_continuous_average_diff_with_server_mean_abs;localization_target_diff_with_real_continuous_average;temperature_time;temperature_real_continous_average_value;temperature_target_value;temperature_real_continuous_average_diff_with_server_mean_abs;temperature_target_diff_with_real_continuous_average;low_temperature_target_value;low_temperature_target_diff_with_real_continuous_average;real_queue_time;real_queue_queue_server_arrival_mean;real_queue_target_value;real_queue_real_continuous_average_diff_with_server_mean_abs;penalty_time;penalty_real_time_average_value;end_localization_arrival;end_localization_departure;end_temperature_arrival;end_temperature_departure;end_real_queue_arrival;end_real_queue_departure
;2.228134870529175;16.19407081604004;10.0;7.495265960693359;-6.194070816040039;2.2300193309783936;40.867591857910156;40.0;15.981294631958008;-0.8675918579101562;0.0;-37.60215377807617;0.23437285423278809;0.9411764740943909;93.68900299072266;0.0;0.21837949752807617;0.0;9.817656517028809;9.812660217285156;38.39149856567383;39.248207092285156;31.98442840576172;40.39023208618164;;0.9016687870025635;16.627037048339844;10.0;16.627037048339844;-6.627037048339844;0.9089241027832031;40.09654998779297;40.0;40.09654998779297;-0.09654998779296875;0.0;-40.24309158325195;0.07845568656921387;1.0;76.46356201171875;0.0;0.9100236892700195;0.0;9.97609806060791;9.979607582092285;39.055694580078125;39.91405487060547;31.98630714416504;40.528785705566406
;3.242746114730835;12.775880813598633;10.0;5.828439235687256;-2.775880813598633;3.246002435684204;42.47967529296875;40.0;12.422466278076172;-2.47967529296875;0.0;-41.152828216552734;0.2861332893371582;1.0;95.71788787841797;0.0;2.230808973312378;0.0;;;;;;;;2.929534912109375;15.741495132446289;10.0;6.333948135375977;-5.741495132446289;2.934685468673706;42.675533294677734;40.0;13.203508377075195;-2.6755332946777344;0.0;-42.74433135986328;0.1237633228302002;0.9230769276618958;77.44874572753906;0.0;2.9356391429901123;0.0;;;;;;
;4.254806995391846;10.595146179199219;10.0;4.751901149749756;-0.5951461791992188;4.2567901611328125;43.3808708190918;40.0;10.237865447998047;-3.380870819091797;0.0;-42.693817138671875;0.33453869819641113;0.9729729890823364;95.29627227783203;0.0;3.246925115585327;0.45905667543411255;;;;;;;;3.4508166313171387;15.291624069213867;10.0;5.540398597717285;-5.291624069213867;3.4534590244293213;43.086158752441406;40.0;11.416204452514648;-3.0861587524414062;0.0;-43.149532318115234;0.1692957878112793;1.0666667222976685;77.5862045288086;0.0;3.4546663761138916;0.519748866558075;;;;;;
;5.266791820526123;10.79359245300293;10.0;4.012974262237549;-0.7935924530029297;5.2720701694488525;42.91598129272461;40.0;8.6937255859375;-2.9159812927246094;0.0;-43.56623840332031;0.38463568687438965;1.0256410837173462;94.8429183959961;0.0;4.257612943649292;0.3726092576980591;;;;;;;;3.9675917625427246;14.933667182922363;10.0;4.932446479797363;-4.933667182922363;3.9706521034240723;42.646427154541016;40.0;10.074054718017578;-2.6464271545410156;0.0;-42.705936431884766;0.22046232223510742;1.0;81.71603393554688;0.0;3.9718129634857178;0.4581598937511444;;;;;;
;5.787291765213013;10.882379531860352;10.0;3.7455201148986816;-0.8823795318603516;5.788485288619995;42.13400650024414;40.0;8.11978530883789;-2.1340065002441406;0.0;-43.06941604614258;0.4348478317260742;1.0;94.41565704345703;0.0;5.273071527481079;0.6266801357269287;;;;;;;;4.496918201446533;14.635671615600586;10.0;4.450201034545898;-4.635671615600586;4.504706382751465;41.6787223815918;40.0;9.015724182128906;-1.6787223815917969;0.0;-41.69932556152344;0.2693202495574951;0.9411764740943909;81.7120590209961;0.0;4.507796049118042;0.40806353092193604;;;;;;
;6.806457042694092;11.396448135375977;10.0;3.297565460205078;-1.3964481353759766;6.811255216598511;41.1392707824707;40.0;7.134376525878906;-1.1392707824707031;0.0;-42.26462173461914;0.48522520065307617;0.9756097793579102;96.25070190429688;0.0;5.792217493057251;0.5795479416847229;;;;;;;;5.023243188858032;14.400060653686523;10.0;4.035872459411621;-4.400060653686523;5.027104616165161;40.50657272338867;40.0;8.145370483398438;-0.5065727233886719;0.0;-40.538352966308594;0.32218456268310547;1.0526316165924072;81.4061050415039;0.0;5.028196811676025;0.3688907325267792;;;;;;
;8.829612731933594;12.119236946105957;10.0;2.665513038635254;-2.119236946105957;8.83345079421997;41.78762435913086;40.0;5.784576416015625;-1.7876243591308594;0.0;-41.25103759765625;0.5350539684295654;1.0232558250427246;95.80838012695312;0.0;6.813194274902344;0.7572864294052124;;;;;;;;5.538358688354492;14.204627990722656;10.0;3.704172134399414;-4.204627990722656;5.543448209762573;39.20529556274414;40.0;7.44495964050293;0.7947044372558594;0.0;-39.240257263183594;0.3694775104522705;1.0;81.56028747558594;0.0;5.544580459594727;0.33681559562683105;;;;;;
;9.347958326339722;12.12328052520752;10.0;2.567720413208008;-2.1232805252075195;9.351166486740112;41.99880599975586;40.0;5.611660003662109;-1.9988059997558594;0.0;-41.87885284423828;0.5868685245513916;1.0;95.33898162841797;0.0;8.835515975952148;0.6033095717430115;;;;;;;;6.057457208633423;14.037147521972656;10.0;3.4241724014282227;-4.037147521972656;6.060393810272217;37.85426330566406;40.0;6.857446670532227;2.1457366943359375;0.0;-37.886146545410156;0.4195585250854492;1.0909091234207153;84.88964080810547;0.0;6.061676502227783;0.3098377287387848;;;;;;
;9.864530563354492;12.117695808410645;10.0;2.466585159301758;-2.1176958084106445;9.86984920501709;41.874610900878906;40.0;5.407421112060547;-1.8746109008789062;0.0;-42.08865737915039;0.6357743740081787;1.04347825050354;94.9432373046875;0.0;9.35517930984497;0.7644597291946411;;;;;;;;7.072964906692505;14.155462265014648;10.0;2.9811134338378906;-4.155462265014648;7.078521251678467;36.3118896484375;40.0;5.937509536743164;3.6881103515625;0.0;-36.33780288696289;0.469923734664917;1.04347825050354;84.6905517578125;0.0;7.079242467880249;0.5352835655212402;;;;;;
;10.382307291030884;12.112075805664062;10.0;2.3743152618408203;-2.1120758056640625;10.386873483657837;41.5135383605957;40.0;5.213436126708984;-1.5135383605957031;0.0;-41.96030807495117;0.6846847534179688;1.021276593208313;96.62808227539062;0.0;9.871028423309326;0.7285418510437012;;;;;;;;9.090706586837769;14.327669143676758;10.0;2.3718318939208984;-4.327669143676758;9.097715377807617;36.970985412597656;40.0;4.6908416748046875;3.0290145874023438;0.0;-36.99125671386719;0.5196497440338135;1.0;84.50704193115234;0.0;9.099459171295166;0.42136502265930176;;;;;;
