Rew_NoInv;localization_time;localization_real_continous_average_value;localization_target_value;localization_real_continuous_average_diff_with_server_mean_abs;localization_target_diff_with_real_continuous_average;temperature_time;temperature_real_continous_average_value;temperature_target_value;temperature_real_continuous_average_diff_with_server_mean_abs;temperature_target_diff_with_real_continuous_average;low_temperature_target_value;low_temperature_target_diff_with_real_continuous_average;real_queue_time;real_queue_queue_server_arrival_mean;real_queue_target_value;real_queue_real_continuous_average_diff_with_server_mean_abs;penalty_time;penalty_real_time_average_value;Rew_Inv;localization_time;localization_real_continous_average_value;localization_target_value;localization_real_continuous_average_diff_with_server_mean_abs;localization_target_diff_with_real_continuous_average;temperature_time;temperature_real_continous_average_value;temperature_target_value;temperature_real_continuous_average_diff_with_server_mean_abs;temperature_target_diff_with_real_continuous_average;low_temperature_target_value;low_temperature_target_diff_with_real_continuous_average;real_queue_time;real_queue_queue_server_arrival_mean;real_queue_target_value;real_queue_real_continuous_average_diff_with_server_mean_abs;penalty_time;penalty_real_time_average_value
;0.3983638286590576;16.52277374267578;10.0;16.52277374267578;-6.522773742675781;0.39868927001953125;42.69648742675781;40.0;42.69648742675781;-2.6964874267578125;0.0;-43.195125579833984;0.21363043785095215;1.2571429014205933;87.16706848144531;0.0;0.400559663772583;0.0;;0.6863834857940674;16.6688175201416;10.0;16.6688175201416;-6.668817520141602;0.6927192211151123;42.7813835144043;40.0;42.7813835144043;-2.781383514404297;0.0;-43.25146484375;0.0008795261383056641;1.0666667222976685;86.4618911743164;0.0;0.6936373710632324;0.0
;1.414097547531128;15.98045539855957;10.0;10.752359390258789;-5.98045539855957;1.4225800037384033;42.70738983154297;40.0;26.173877716064453;-2.7073898315429688;0.0;-42.91663360595703;0.26340627670288086;1.2222222089767456;86.9565200805664;0.0;1.4237844944000244;0.0;;1.7091856002807617;16.030559539794922;10.0;8.497966766357422;-6.030559539794922;1.712127447128296;42.302486419677734;40.0;18.7147159576416;-2.3024864196777344;0.0;-42.5625114440918;0.050812482833862305;1.0;86.11409759521484;0.0;1.7146027088165283;0.0
;2.4373600482940674;15.719008445739746;10.0;8.015225410461426;-5.719008445739746;2.440577745437622;44.16717529296875;40.0;18.89640998840332;-4.16717529296875;0.0;-44.35128402709961;0.3139646053314209;1.263157844543457;86.75798797607422;0.0;2.4451143741607666;0.0;;2.727691173553467;15.752750396728516;10.0;6.154335975646973;-5.752750396728516;2.7304604053497314;43.74298858642578;40.0;12.993206024169922;-3.7429885864257812;0.0;-43.93467330932617;0.1009523868560791;0.9411764740943909;85.80184173583984;0.0;2.7315406799316406;0.0
;3.4619972705841064;14.963188171386719;10.0;6.417803764343262;-4.963188171386719;3.4655532836914062;43.952369689941406;40.0;14.89875602722168;-3.9523696899414062;0.0;-44.09586715698242;0.36358022689819336;1.2307692766189575;86.57048034667969;0.0;3.466503143310547;0.44653788208961487;;3.742976427078247;15.589105606079102;10.0;4.828690528869629;-5.589105606079102;3.751992702484131;45.363677978515625;40.0;9.962860107421875;-5.363677978515625;0.0;-45.476104736328125;0.15091800689697266;1.0526316165924072;85.5199203491211;0.0;3.7530393600463867;0.0
;4.4815099239349365;14.448643684387207;10.0;5.353681564331055;-4.448643684387207;4.484618902206421;41.80986785888672;40.0;12.274589538574219;-1.8098678588867188;0.0;-41.92951965332031;0.41376495361328125;1.2682926654815674;88.505126953125;0.0;4.486097812652588;0.36374443769454956;;4.772799491882324;14.945232391357422;10.0;3.9646596908569336;-4.945232391357422;4.778951644897461;45.30295944213867;40.0;8.061012268066406;-5.302959442138672;0.0;-45.42386245727539;0.20157241821289062;1.0;88.88888549804688;0.0;4.7795045375823975;0.37363043427467346
;5.4985737800598145;14.09374713897705;10.0;4.604569435119629;-4.093747138977051;5.501682281494141;39.123321533203125;40.0;10.44438362121582;0.876678466796875;0.0;-39.22101593017578;0.46359872817993164;1.2380952835083008;88.32807922363281;0.0;5.503019332885742;0.3069700598716736;;5.7933008670806885;14.511202812194824;10.0;3.364895820617676;-4.511202812194824;5.796178579330444;43.48246383666992;40.0;6.77032470703125;-3.482463836669922;0.0;-43.57832336425781;0.25633859634399414;1.0909091234207153;88.57395935058594;0.0;5.7972235679626465;0.31394630670547485
;6.517219305038452;14.202984809875488;10.0;4.042595863342285;-4.202984809875488;6.518473863601685;37.49102020263672;40.0;9.087930679321289;2.5089797973632812;0.0;-37.55961227416992;0.5133719444274902;1.209302306175232;88.11475372314453;0.0;6.522646903991699;0.5308605432510376;;6.8096044063568115;14.183713912963867;10.0;2.9250926971435547;-4.183713912963867;6.812183618545532;41.0051155090332;40.0;5.840660095214844;-1.0051155090332031;0.0;-41.08494186401367;0.30113697052001953;1.04347825050354;88.2103500366211;0.0;6.8150129318237305;0.27072054147720337
;7.5358357429504395;14.291248321533203;10.0;3.616225242614746;-4.291248321533203;7.5387468338012695;37.36000061035156;40.0;8.100778579711914;2.6399993896484375;0.0;-37.42982864379883;0.5635745525360107;1.244444489479065;87.86819458007812;0.0;7.539746284484863;0.4677218794822693;;7.831343412399292;14.270828247070312;10.0;2.588399887084961;-4.2708282470703125;7.834728956222534;39.374542236328125;40.0;5.138935089111328;0.625457763671875;0.0;-39.4406623840332;0.35973596572875977;1.0;90.46849822998047;0.0;7.837697982788086;0.4755658507347107
;8.552311420440674;12.965405464172363;10.0;3.2742929458618164;-2.9654054641723633;8.560170412063599;37.741085052490234;40.0;7.325029373168945;2.2589149475097656;0.0;-37.7975959777832;0.6151390075683594;1.2173912525177002;89.62493896484375;0.0;8.56133484840393;0.6267172694206238;;8.858398914337158;14.344771385192871;10.0;2.318453788757324;-4.344771385192871;8.865215063095093;39.08427047729492;40.0;4.581340789794922;0.9157295227050781;0.0;-39.141754150390625;0.4008159637451172;1.076923131942749;90.69585418701172;0.0;8.866758346557617;0.42373260855674744
;9.572888851165771;11.858559608459473;10.0;2.973313331604004;-1.8585596084594727;9.580062627792358;38.169578552246094;40.0;6.709159851074219;1.8304214477539062;0.0;-38.216304779052734;0.6639857292175293;1.25;89.39610290527344;0.0;9.58095121383667;0.5663943886756897;;9.882157564163208;13.114770889282227;10.0;2.095733642578125;-3.1147708892822266;9.888658046722412;39.340057373046875;40.0;4.136798858642578;0.659942626953125;0.0;-39.39125442504883;0.4753842353820801;1.0370370149612427;91.58050537109375;0.0;9.889670610427856;0.573460042476654
;10.594420433044434;10.93765640258789;10.0;2.722813606262207;-0.9376564025878906;10.595425844192505;38.586063385009766;40.0;6.194461822509766;1.4139366149902344;0.0;-38.63861083984375;0.7152605056762695;1.2244898080825806;89.13648986816406;0.0;10.598734855651855;0.5167445540428162;;10.902388095855713;12.074370384216309;10.0;1.9156131744384766;-2.0743703842163086;10.905729293823242;39.628971099853516;40.0;3.7659530639648438;0.3710289001464844;0.0;-39.67814636230469;0.5007708072662354;1.1428571939468384;89.92023468017578;0.0;10.906734228134155;0.5226475596427917
;11.614788055419922;11.236489295959473;10.0;2.514009475708008;-1.2364892959594727;11.616127967834473;39.159385681152344;40.0;5.762615203857422;0.8406143188476562;0.0;-39.206268310546875;0.7640194892883301;1.2000000476837158;88.96958923339844;0.0;11.623229503631592;0.6331331729888916;;11.927087545394897;11.195696830749512;10.0;1.763749122619629;-1.1956968307495117;11.930320024490356;39.89936828613281;40.0;3.4610328674316406;0.1006317138671875;0.0;-39.94355392456055;0.5512943267822266;1.1034482717514038;89.51049041748047;0.0;11.931782722473145;0.47980526089668274
;12.633481740951538;11.511153221130371;10.0;2.356503486633301;-1.511153221130371;12.636026382446289;39.969085693359375;40.0;5.420978546142578;0.030914306640625;0.0;-40.01716232299805;0.8135712146759033;1.2307692766189575;90.58614349365234;0.0;12.637079000473022;0.5861024856567383;;12.945295333862305;11.45676326751709;10.0;1.6358346939086914;-1.4567632675170898;12.950131177902222;40.37047576904297;40.0;3.1985626220703125;-0.37047576904296875;0.0;-40.41202926635742;0.6015691757202148;1.0666667222976685;91.95402526855469;0.0;12.951374769210815;0.5915205478668213
;13.651933670043945;11.545799255371094;10.0;2.2118492126464844;-1.5457992553710938;13.656620502471924;40.2772216796875;40.0;5.095848083496094;-0.2772216796875;0.0;-40.314369201660156;0.8635203838348389;1.2075471878051758;90.35620880126953;0.0;13.660351276397705;0.6815389394760132;;13.970311641693115;11.699430465698242;10.0;1.529311180114746;-1.6994304656982422;13.977613687515259;41.042449951171875;40.0;2.994342803955078;-1.042449951171875;0.0;-41.0779914855957;0.6512429714202881;1.125;91.5631103515625;0.0;13.978625535964966;0.5497555732727051
;14.677883625030518;11.574463844299316;10.0;2.089414596557617;-1.5744638442993164;14.678797483444214;39.81865310668945;40.0;4.812404632568359;0.18134689331054688;0.0;-39.859649658203125;0.9143247604370117;1.2363636493682861;90.09774780273438;0.0;14.682059049606323;0.6371693015098572;;14.991883754730225;11.722101211547852;10.0;1.4261245727539062;-1.7221012115478516;14.99550986289978;41.2888298034668;40.0;2.778820037841797;-1.2888298034667969;0.0;-41.32562255859375;0.7053601741790771;1.0909091234207153;91.13924407958984;0.0;14.998668193817139;0.6421803832054138
